1-0-3-7-5-8	万
1-0-3-7-5-9	三
1-0-3-7-6-0	上
1-0-3-7-6-1	爪
1-0-3-7-6-2	丑
1-0-3-7-6-3	丘
1-0-3-7-6-4	丛
1-0-3-7-6-5	丝
1-0-3-7-6-6	丢
1-0-3-7-6-7	丫
1-0-3-7-6-8	中
1-0-3-7-6-9	串
1-0-3-7-7-0	丸
1-0-3-7-7-1	为
1-0-3-7-7-2	主
1-0-3-7-7-3	乃
1-0-3-7-7-4	乔
1-0-3-7-7-5	乖
1-0-3-7-7-6	乙
1-0-3-7-7-7	习
1-0-3-7-7-8	书
1-0-3-7-7-9	乾
1-0-3-7-8-0	了
1-0-3-7-8-1	予
1-0-3-7-8-2	产
1-0-3-7-8-3	亭
1-0-3-7-8-4	亮
1-0-3-7-8-5	亲
1-0-3-7-8-6	亿
1-0-3-7-8-7	计
1-0-3-7-8-8	介
1-0-3-7-8-9	仍
1-0-3-7-9-0	仕
1-0-3-7-9-1	他
1-0-3-7-9-2	仝
1-0-3-7-9-3	代
1-0-3-7-9-4	仪
1-0-3-7-9-5	件
1-0-3-7-9-6	任
1-0-3-7-9-7	份
1-0-3-7-9-8	伍
1-0-3-7-9-9	伞
1-0-3-8-0-0	伤
1-0-3-8-0-1	估
1-0-3-8-0-2	你
1-0-3-8-0-3	伴
1-0-3-8-0-4	伸
1-0-3-8-0-5	但
1-0-3-8-0-6	位
1-0-3-8-0-7	沸
1-0-3-8-0-8	作
1-0-3-8-0-9	攻
1-0-3-8-1-0	佳
1-0-3-8-1-1	依
1-0-3-8-1-2	厕
1-0-3-8-1-3	侬
1-0-3-8-1-4	侵
1-0-3-8-1-5	俪
1-0-3-8-1-6	俺
1-0-3-8-1-7	倆
1-0-3-8-1-8	倪
1-0-3-8-1-9	俱
1-0-3-8-2-0	值
1-0-3-8-2-1	假
1-0-3-8-2-2	做
1-0-3-8-2-3	健
1-0-3-8-2-4	储
1-0-3-8-2-5	充
1-0-3-8-2-6	先
1-0-3-8-2-7	光
1-0-3-8-2-8	兑
1-0-3-8-2-9	入
1-0-3-8-3-0	六
1-0-3-8-3-1	兰
1-0-3-8-3-2	共
1-0-3-8-3-3	兴
1-0-3-8-3-4	兵
1-0-3-8-3-5	养
1-0-3-8-3-6	写
1-0-3-8-3-7	农
1-0-3-8-3-8	冰
1-0-3-8-3-9	冲
1-0-3-8-4-0	决
1-0-3-8-4-1	况
1-0-3-8-4-2	净
1-0-3-8-4-3	准
1-0-3-8-4-4	凑
1-0-3-8-4-5	凝
1-0-3-8-4-6	几
1-0-3-8-4-7	凤
1-0-3-8-4-8	凯
1-0-3-8-4-9	凶
1-0-3-8-5-0	出
1-0-3-8-5-1	函
1-0-3-8-5-2	刀
1-0-3-8-5-3	刁
1-0-3-8-5-4	切
1-0-3-8-5-5	划
1-0-3-8-5-6	列
1-0-3-8-5-7	刚
1-0-3-8-5-8	初
1-0-3-8-5-9	删
1-0-3-8-6-0	别
1-0-3-8-6-1	刨
1-0-3-8-6-2	别
1-0-3-8-6-3	刮
1-0-3-8-6-4	前
1-0-3-8-6-5	剛
1-0-3-8-6-6	剜
1-0-3-8-6-7	副
1-0-3-8-6-8	力
1-0-3-8-6-9	办
1-0-3-8-7-0	动
1-0-3-8-7-1	劲
1-0-3-8-7-2	勺
1-0-3-8-7-3	北
1-0-3-8-7-4	匠
1-0-3-8-7-5	匡
1-0-3-8-7-6	匹
1-0-3-8-7-7	区
1-0-3-8-7-8	医
1-0-3-8-7-9	干
1-0-3-8-8-0	升
1-0-3-8-8-1	午
1-0-3-8-8-2	半
1-0-3-8-8-3	毕
1-0-3-8-8-4	单
1-0-3-8-8-5	博
1-0-3-8-8-6	占
1-0-3-8-8-7	卤
1-0-3-8-8-8	卫
1-0-3-8-8-9	卯
1-0-3-8-9-0	卵
1-0-3-8-9-1	卷
1-0-3-8-9-2	厅
1-0-3-8-9-3	厘
1-0-3-8-9-4	厦
1-0-3-8-9-5	又
1-0-3-8-9-6	友
1-0-3-8-9-7	变
1-0-3-8-9-8	叟
1-0-3-8-9-9	只
1-0-3-9-0-0	叫
1-0-3-9-0-1	召
1-0-3-9-0-2	史
1-0-3-9-0-3	右
1-0-3-9-0-4	叶
1-0-3-9-0-5	叼
1-0-3-9-0-6	叽
1-0-3-9-0-7	吁
1-0-3-9-0-8	吃
1-0-3-9-0-9	吆
1-0-3-9-1-0	吉
1-0-3-9-1-1	名
1-0-3-9-1-2	后
1-0-3-9-1-3	吕
1-0-3-9-1-4	吖
1-0-3-9-1-5	君
1-0-3-9-1-6	吭
1-0-3-9-1-7	吴
1-0-3-9-1-8	呃
1-0-3-9-1-9	呈
1-0-3-9-2-0	告
1-0-3-9-2-1	呓
1-0-3-9-2-2	呦
1-0-3-9-2-3	周
1-0-3-9-2-4	味
1-0-3-9-2-5	呵
1-0-3-9-2-6	呸
1-0-3-9-2-7	命
1-0-3-9-2-8	咁
1-0-3-9-2-9	咋
1-0-3-9-3-0	咒
1-0-3-9-3-1	咖
1-0-3-9-3-2	咦
1-0-3-9-3-3	咧
1-0-3-9-3-4	咽
1-0-3-9-3-5	哄
1-0-3-9-3-6	哇
1-0-3-9-3-7	哈
1-0-3-9-3-8	哋
1-0-3-9-3-9	哎
1-0-3-9-4-0	哏
1-0-3-9-4-1	哑
1-0-3-9-4-2	哒
1-0-3-9-4-3	哗
1-0-3-9-4-4	哥
1-0-3-9-4-5	哲
1-0-3-9-4-6	哼
1-0-3-9-4-7	唤
1-0-3-9-4-8	唯
1-0-3-9-4-9	啃
1-0-3-9-5-0	啦
1-0-3-9-5-1	啲
1-0-3-9-5-2	啵
1-0-3-9-5-3	喂
1-0-3-9-5-4	喆
1-0-3-9-5-5	喊
1-0-3-9-5-6	喔
1-0-3-9-5-7	喘
1-0-3-9-5-8	喳
1-0-3-9-5-9	喷
1-0-3-9-6-0	嗓
1-0-3-9-6-1	嗨
1-0-3-9-6-2	嗪
1-0-3-9-6-3	嗲
1-0-3-9-6-4	嘉
1-0-3-9-6-5	嘎
1-0-3-9-6-6	嘖
1-0-3-9-6-7	嘚
1-0-3-9-6-8	嘴
1-0-3-9-6-9	嘿
1-0-3-9-7-0	噶
1-0-3-9-7-1	嚯
1-0-3-9-7-2	因
1-0-3-9-7-3	囡
1-0-3-9-7-4	园
1-0-3-9-7-5	困
1-0-3-9-7-6	国
1-0-3-9-7-7	圆
1-0-3-9-7-8	圈
1-0-3-9-7-9	±
1-0-3-9-8-0	圩
1-0-3-9-8-1	地
1-0-3-9-8-2	垠
1-0-3-9-8-3	型
1-0-3-9-8-4	垛
1-0-3-9-8-5	垧
1-0-3-9-8-6	垫
1-0-3-9-8-7	垮
1-0-3-9-8-8	垵
1-0-3-9-8-9	城
1-0-3-9-9-0	基
1-0-3-9-9-1	堃
1-0-3-9-9-2	堆
1-0-3-9-9-3	堵
1-0-3-9-9-4	塔
1-0-3-9-9-5	塞
1-0-3-9-9-6	墙
1-0-3-9-9-7	壇
1-0-3-9-9-8	声
1-0-3-9-9-9	壽
1-0-4-0-0-0	外
1-0-4-0-0-1	多
1-0-4-0-0-2	大
1-0-4-0-0-3	夫
1-0-4-0-0-4	头
1-0-4-0-0-5	奇
1-0-4-0-0-6	奔
1-0-4-0-0-7	奥
1-0-4-0-0-8	妃
1-0-4-0-0-9	妞
1-0-4-0-1-0	姓
1-0-4-0-1-1	委
1-0-4-0-1-2	姗
1-0-4-0-1-3	威
1-0-4-0-1-4	娃
1-0-4-0-1-5	娣
1-0-4-0-1-6	娱
1-0-4-0-1-7	婶
1-0-4-0-1-8	婷
1-0-4-0-1-9	媚
1-0-4-0-2-0	媛
1-0-4-0-2-1	媳
1-0-4-0-2-2	嫡
1-0-4-0-2-3	嫣
1-0-4-0-2-4	嫩
1-0-4-0-2-5	嫲
1-0-4-0-2-6	字
1-0-4-0-2-7	存
1-0-4-0-2-8	孟
